9,-110,9,-110,8.5,-105,8.5,-115,8.5,-106,8.5,-114,8.5,-102,8.5,-108,8.5,-105,8.5,-115,8.5,-105,8.5,-115,8.5,-105,8.5,-115,37,63,33,67,0
7,110,7,-130,6.5,-110,6.5,-110,6.5,-115,6.5,-105,6.5,-112,6.5,102,6.5,-115,6.5,-105,6.5,-110,6.5,-110,6.5,-110,6.5,-110,59,41,43,57,1
7.5,-110,7.5,-110,7.5,100,7.5,-120,7.5,105,7.5,-125,7.5,107,7.5,-118,7.5,-105,7.5,-115,7,-115,7,-105,7.5,100,7.5,-120,65,35,32,68,1
8.5,-110,8.5,-110,9,-105,9,-115,9,-107,9,-113,9,-104,9,-106,9,-105,9,-115,9,-105,9,-115,9,-105,9,-115,56,44,49,51,1
9,-115,9,-105,9,-105,9,-115,9,-104,9,-116,9,-101,9,-109,9,-105,9,-115,9,-105,9,-115,9,-105,9,-115,37,63,25,75,0
8.5,-110,8.5,-110,8.5,-120,8.5,100,8.5,-118,8.5,-102,8.5,-111,8.5,101,8.5,-115,8.5,-105,8.5,-120,8.5,100,8.5,-115,8.5,-105,63,37,79,21,1
7.5,-120,7.5,100,7,102,7,-112,7,-105,7,-115,7,102,7,-112,7,-110,7,-110,7,-101,7,-119,7,-110,7,-110,55,45,39,61,1
7.5,-119,7.5,-101,7.5,-110,7.5,-110,7.5,-108,7.5,-112,7.5,-103,7.5,-107,7.5,-110,7.5,-110,7.5,-103,7.5,-117,7.5,-115,7.5,-105,66,34,57,43,1
6.5,-119,6.5,-101,6.5,-120,6.5,100,6.5,-120,6.5,100,6.5,-115,6.5,104,6.5,-120,6.5,100,6.5,-118,6.5,-102,6.5,-120,6.5,100,73,27,60,40,0
8,-119,8,-101,8,100,8,-120,8,-102,8,-118,8,-101,8,-109,8,100,8,-120,8,100,8,-120,8,100,8,-120,60,40,47,53,1
8.5,100,8.5,-120,8,-115,8,-105,8,-120,8,100,8,-112,8,101,8,-115,8,-105,8,-115,8,-105,8,-115,8,-105,57,43,32,68,1
7,-110,7,-110,6.5,-110,6.5,-110,6.5,-110,6.5,-110,6.5,-105,6.5,-105,6.5,-110,6.5,-110,6.5,-105,6.5,-115,6.5,-110,6.5,-110,48,52,41,59,0
7.5,-119,7.5,-101,7.5,-120,7.5,100,8,-103,8,-117,8,101,8,-112,7.5,-120,7.5,100,7.5,-118,7.5,-102,7.5,-120,7.5,100,75,25,64,36,0
9,-101,9,-119,9,100,9,-120,9,101,9,-121,9,107,9,-118,9,-105,9,-115,9,-101,9,-119,9,100,9,-120,62,38,44,56,1
8,-119,8,-101,9,-101,9,-109,9,-112,9,-108,9,-101,9,-109,9,-110,9,-110,9,-111,9,-109,9,-110,9,-110,71,29,75,25,1
7.5,-119,7.5,-101,8.5,-115,8.5,-105,8.5,-116,8.5,-104,8.5,-113,8.5,102,8.5,-115,8.5,-105,8.5,-105,8.5,-115,8.5,-115,8.5,-105,74,26,68,32,1
10.5,100,10.5,-120,11,-105,11,-115,10.5,-125,10.5,105,11,-102,11,-109,11,-105,11,-115,11,-105,11,-115,11,-105,11,-115,71,29,81,19,1
7.5,-119,7.5,-101,7.5,-115,7.5,-105,7.5,-117,7.5,-103,7.5,-112,7.5,101,7.5,-120,7.5,100,7.5,-110,7.5,-110,7.5,-115,7.5,-105,59,41,40,60,1
7,-115,7,-105,7,-116,7,-104,7,-110,7,-110,7,-110,7,100,7,-115,7,-105,7,-116,7,-104,7,-120,7,100,43,57,29,71,2
8,-105,8,-115,8,100,8,-120,7.5,-115,7.5,-105,7.5,-113,7.5,103,8,100,8,-120,8,-101,8,-119,8,100,8,-120,47,53,24,76,0
8,-119,8,-101,8,-105,8,-115,8,-105,8,-115,8,-100,8,-110,8,-105,8,-115,8,100,8,-121,8,-105,8,-115,59,41,53,47,1
7,-120,7,100,7.5,-105,7.5,-115,7.5,-105,7.5,-115,7.5,103,7.5,-113,7.5,-105,7.5,-115,7.5,-105,7.5,-115,7.5,-105,7.5,-115,48,52,56,44,0
9,-119,9,-101,9,105,9,-125,8.5,-123,8.5,103,8.5,-117,8.5,106,9,100,9,-120,9,105,9,-125,9,105,9,-125,73,27,69,31,1
8.5,-105,8.5,-115,8,-115,8,-105,8,-117,8,-103,8,-112,8,101,8,-115,8,-105,8,-113,8,-107,8,-115,8,-105,69,31,53,47,0
8.5,-110,8.5,-110,8.5,-115,8.5,-105,8.5,-110,8.5,-110,8.5,-105,8.5,-105,8.5,-115,8.5,-105,8.5,-110,8.5,-110,8.5,-115,8.5,-105,52,48,55,45,0
8.5,-119,8.5,-101,8.5,-120,8.5,100,8.5,-114,8.5,-106,8.5,-110,8.5,-100,8.5,-120,8.5,100,8.5,-119,8.5,-101,8.5,-120,8.5,100,70,30,73,27,1
8.5,-101,8.5,-119,8.5,100,8.5,-120,8.5,-104,8.5,-116,8,-115,8,104,8.5,-105,8.5,-115,8.5,100,8.5,-120,8.5,-105,8.5,-115,80,20,80,20,0
7,-115,7,-105,7,-110,7,-110,7,-112,7,-108,7,-105,7,-105,7,-120,7,100,7,-102,7,-119,7,-110,7,-110,75,25,62,38,1
8.5,-120,8.5,100,9,-105,9,-115,9,-108,9,-112,9,-101,9,-109,9,-105,9,-115,9,-101,9,-119,9,-105,9,-115,59,41,61,39,1
7,-115,7,-105,8,-105,8,-115,8,-105,8,-115,8,100,8,-111,8,100,8,-120,8,-109,8,-111,8,-105,8,-115,39,61,46,54,1
